scrape_date,price,price_per_m2,surface_m2,rooms,floor,max_floor,neighborhood,city,year_built,url
3/18/2026,92971,2214,42,1,4,10,Nord,Sector 1,2024,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-1-nord-42-mp-256435750
3/18/2026,41100,1417,29,1,7,7,Militari,Sector 6,2025,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-6-militari-27-mp-1082626
3/18/2026,61600,1283,48,2,7,7,Militari,Sector 6,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1082638
3/18/2026,67400,1322,51,2,5,7,Militari,Sector 6,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1082616
3/18/2026,255000,5000,51,2,4,10,Floreasca,Sector 1,2021,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-2-camere-273904747
3/18/2026,325000,3504,92.74,3,3,3,Străulești,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-straulesti-3-camere-1-274660451
3/18/2026,94000,1967,47.8,2,6,11,Theodor Pallady,Sector 3,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-theodor-pallady-2-camere-275284993
3/18/2026,189900,2234,85,2,1,10,Floreasca,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-270135362
3/18/2026,178000,2781,64,2,5,10,Floreasca,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-2-camere-270073223
3/18/2026,94000,1925,48.82,2,2,11,Industriilor,Sector 3,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-industriilor-2-camere-269322115
3/18/2026,105000,1912,54.92,2,8,11,Industriilor,Sector 3,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-industriilor-2-camere-269322014
3/18/2026,120000,1982,60.53,3,7,11,Industriilor,Sector 3,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-industriilor-3-camere-269321846
3/18/2026,188900,2906,65,2,5,10,Floreasca,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-2-camere-269055095
3/18/2026,162000,2842,57,2,4,10,Floreasca,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-266990840
3/18/2026,549000,4309,127.4,4,11,11,Cotroceni,Sector 5,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-5-cotroceni-mobilat-4-camere-230351170
3/18/2026,156000,2889,54,2,2,10,Floreasca,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-266983173
3/18/2026,188000,3298,57,2,1,10,Floreasca,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-2-camere-266982470
3/18/2026,184000,2746,67,2,2,10,Floreasca,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-2-camere-266981325
3/18/2026,176900,2359,75,2,9,10,Floreasca,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-266917349
3/18/2026,132300,2646,50,2,2,8,Militari,Sector 6,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-266745473
3/18/2026,165000,3113,53,2,8,11,Floreasca,Sector 1,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-261702223
3/18/2026,196010,3016,65,2,5,8,Floreasca,Sector 1,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-261318250
3/18/2026,335000,3722,90,3,5,12,Aviației,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-aviatiei-3-camere-275033439
